episode,cumulative_reward,avg_latency_ms,total_actions,NOOP_count,FIRE_count,UP_count,DOWN_count,RIGHTFIRE_count,LEFTFIRE_count
1,2.0,24.020732402801514,1000,316,50,81,305,140,108
2,3.0,24.732138633728027,1000,264,90,92,344,103,107
3,-11.0,24.289705753326416,1000,250,43,37,358,79,233
4,-12.0,24.48829746246338,1000,170,91,130,348,64,197
5,-12.0,23.43867254257202,1000,188,85,154,313,63,197
6,-7.0,24.43759322166443,1000,230,89,82,347,58,194
7,-8.0,23.80533480644226,1000,182,63,95,370,130,160
8,-19.0,23.098383857625535,977,167,102,21,153,16,517
9,-21.0,23.994096502542224,873,61,73,149,286,44,259
10,2.0,24.537872076034546,1000,300,80,66,282,119,153
11,7.0,25.37194561958313,1000,381,82,55,198,161,123
12,-19.0,25.129052975282697,977,172,76,30,141,27,530
13,-15.0,25.08336114883423,1000,172,82,91,274,42,339
14,-14.0,24.763356924057007,1000,129,76,145,324,90,236
15,-2.0,23.769124746322632,1000,276,93,64,330,66,171
